link--alt href,core-tile__image src,core-tile__description-text,core-rating__counter,core-rating__label,core-tile__description-subline
https://cookidoo.de/recipes/recipe/de-DE/r417190,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/045ea44f-9d61-496e-8d3b-d17b065f8c03/Derivates/4a09a284-815d-480b-a17c-1121aac27871,Chäsfondue,4.3,-26,20 Min
https://cookidoo.de/recipes/recipe/de-DE/r924048,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/cb4b0ada2d49c21784cb7a54baca5291/Derivates/959e8233162772c4ee9f90cc9e1258131d664ae6,Risottata - Mafaldine in cremiger Schwammerl-Tomatensauce,4.7,-84,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r917210,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/033a29ed4e543d64a1c57f0149825a0a/Derivates/477a2481b159b8b7c7886f2937544bbe42bb7b6e,Tomaten-Champignon-Spaghetti,4.2,-79,25 Min
https://cookidoo.de/recipes/recipe/de-DE/r765946,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/cf9f42710ff432b9f6d387f14f61ac2d/Derivates/f23906820ef6f50815f20fdff7d5a4fd9a8a9b44,Rote-Bete-Rösti mit Forelle und Dip,4.4,-138,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r762575,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/f21eff0c94a962f1f990bc9ebc892171/Derivates/7dbc80cbfea8544cb467b7332e577f684495bcf8,Reisbandnudeln mit Gemüsecurry,4.3,(1.3K),30 Min
https://cookidoo.de/recipes/recipe/de-DE/r679328,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/78e69fb3-083d-4525-b094-2c2805825175/Derivates/3fbafb5e-a021-4ec0-a127-08b072e367d6,Karibisches Garnelencurry,4.1,(1K),30 Min
https://cookidoo.de/recipes/recipe/de-DE/r312262,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/318FC7B3-FD76-402E-9723-5918DC4C407D/Derivates/d4bf9458-daad-4b5d-84cd-a67607284823,Kürbisrösti mit Kräuterdip und Landschinken,4.5,-252,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r149628,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/44743282-f5f2-428e-999e-335c59ead41e/Derivates/d506e756-9f33-4cb4-920d-d03f120bc394,Baked Beans (4 Fäuste für ein Halleluja),4.4,-891,15 Min
https://cookidoo.de/recipes/recipe/de-DE/r926454,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/1330043ba6bf48668020355041f21801/Derivates/5382227b42acd210a67ad136d97eaed13da260fa,Gemüse-Consommé mit Gnocchi,4.5,-18,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r915057,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/8423a2250f54055a4d1c36d650b02195/Derivates/884d82f8bbf0ccbcffe8fb49dbc4aa76cb4b2572,Vegetarische Carbonara,4.3,-29,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r903812,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/81ad6900faec2cbaaa60406f94f14753/Derivates/71c57047d76c1065d1ec3430f892149a5dd62f8e,Süßkartoffel-Taler mit Guacamole,4.8,-447,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r816317,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/e09ebbeade2845fb1e28383195290e7d/Derivates/4fe3a4caa7226e3c0f38b1587b76db17afcdff75,Salat mit gebratenen Garnelen,4.6,-284,20 Min
https://cookidoo.de/recipes/recipe/de-DE/r784725,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/3ff8bbf909d0a6c77bfe3eddcd5ff415/Derivates/e660b7caa45388c5d3368ad921b10bd200641c91,Linguine mit Pesto Primavera,4.7,-372,20 Min
https://cookidoo.de/recipes/recipe/de-DE/r713234,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/7dfc1bb6-04b7-4ffd-9c88-fe94e348999f/Derivates/b3f778ce-615f-4717-a449-0a32418c2c12,Möhren-Kartoffel-Untereinander mit Brühwurst,4.2,-546,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r558134,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/C0FC6940-8AB7-4A04-BCFB-84A181C2E4F5/Derivates/5E361073-B358-4AA8-9932-83F972B23ABD,Kerala Fisch Curry,4.3,-26,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r397639,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/0794FF56-537C-4800-B502-350557788B7C/Derivates/1cb3f23f-b133-468c-8a4a-d6f519a4103a,Nussfisch,4.3,-9,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r126360,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/AAEE59BD-EF26-4CA8-A6A7-BC62B778EDFF/Derivates/85330275-5783-4C76-B941-768F7DC614E9,Thunfischsteak mit Pfeffersauce zu Caesar Salad,4.4,-38,25 Min
https://cookidoo.de/recipes/recipe/de-DE/r781673,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/66b8df0fce82873672fbb95ac9662583/Derivates/06d902eb3525f060c83fee3eae1e984a39569211,Lachs mit Wasabi-Sesamkruste und Gurkensalat,4.5,-197,25 Min
https://cookidoo.de/recipes/recipe/de-DE/r778206,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/6f07d31133ce961b80f7a2c4fd7184ac/Derivates/54e15bc6b4b83b69c5ee09cd948b8f3c0efffdb8,Japanische Udon-Nudeln mit Hackfleisch,4,-146,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r619743,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/fe7d7d26-18a3-4ded-97c4-8f2b9cbcf77a/Derivates/26a64d4b-3cc7-4841-b636-c77762d31fc0,Leberkäse-Hotdogs,4.5,-215,20 Min
https://cookidoo.de/recipes/recipe/de-DE/r442484,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/170cf51e-621e-47eb-a08e-f46d53a77748/Derivates/c0e6c808-6a22-4924-ba17-483b700a1603,Gedämpfter Brokkoli mit Cheddar Chili Cheese Sauce,4.3,-46,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r303493,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/7E60DC78-1136-4A0A-BEB0-706BFF4D143B/Derivates/18632B1B-C5B4-422C-B769-3EC9B2B040AD,Basilikumsuppe,4.4,-25,25 Min
https://cookidoo.de/recipes/recipe/de-DE/r251662,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/78c25f35-b22e-4df5-9555-c35088222be9/Derivates/e6309d66-f5ad-45c0-9288-d593d435b719,Hirsepfanne mit gebratenem Gemüse und Cashews,4.4,-294,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r177878,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/C0FC6940-8AB7-4A04-BCFB-84A181C2E4F5/Derivates/5E361073-B358-4AA8-9932-83F972B23ABD,Kerala Fisch Curry,4.3,-221,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r150231,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/053305FB-CF8E-47CE-B9E4-1A76EB0A521E/Derivates/bd901ddb-e680-41de-9319-24a3b62e4576,Garnelen mit Frühlingszwiebeln (油爆虾),4.1,-182,25 Min
https://cookidoo.de/recipes/recipe/de-DE/r921725,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/195fa2b8931dd4c9290c1ae67d122e67/Derivates/388630b9a02cd372aa18b02246513d01ced5b68b,Risottata Asiatische Nudeln mit Gemüse,4.3,-4,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r802322,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/24845138a6eb5e5fec5ab17932d825a6/Derivates/cd8c6265005d957460866152d500e9b8629d3449,Pilztopf mit Sonnenweizen,4.5,-318,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r754459,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/ed59a238f8f7dc9b7f5b2f6c9edcd2a2/Derivates/161fb999df2f2ba5b481d9770470fc1e0433f64c,Vegane Asia-Bowl,4.3,-145,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r509000,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/8D507D03-D8EC-4361-896F-509946BD8630/Derivates/782c07fa-3a76-40f0-9f30-d44648d51c03,Paprika-Bowl mit Hähnchen,4,-781,25 Min
