ingredient_name,frequency,raw_examples,bls_rank,bls_entry_name,match_score,approve
"kartoffeln, festkochend",8,"400 g Kartoffeln, festkochend",1,Kartoffel-Gemüse-Kuchen,0.696,
erdnusscreme,8,50 g Erdnusscreme,3,Haselnusscremeeis,0.69,
couscous,8,100 g Couscous,2,Couscous (Hartweizen) roh,0.685,
"kartoffeln, festkochend",8,"400 g Kartoffeln, festkochend",2,Kartoffelschnee,0.684,
bärlauchblätter,8,"70 g Bärlauchblätter, frisch",1,Bärlauch roh,0.667,
"kartoffeln, festkochend",8,"400 g Kartoffeln, festkochend",3,"Kartoffel ungeschält, gekocht",0.654,
"paprika, gemischt",8,"200 g Paprika, gemischt",1,"Gemüsepaprika rot, gekocht",0.651,
couscous,8,100 g Couscous,3,Couscous (mit Fett und Salz),0.644,
"joghurt, 3,5% fett",8,"2 EL Joghurt, 3,5% Fett",2,"Joghurt 1,5 % Fett mit Erdbeeren",0.64,
"paprika, gemischt",8,"200 g Paprika, gemischt",2,"Gemüsepaprika gelb, gekocht",0.636,
"paprika, gemischt",8,"200 g Paprika, gemischt",3,"Gemüsepaprika grün, gekocht",0.636,
schmelzkäse,8,40 g Schmelzkäse,1,Pariser Käsecremesuppe (mit Schmelzkäse),0.631,
kerbel,8,1 Bund Kerbel,1,Erbsenmehl,0.625,
kerbel,8,1 Bund Kerbel,2,Backerbsen,0.625,
"joghurt, 3,5% fett",8,"2 EL Joghurt, 3,5% Fett",3,"Joghurt mind. 3,5 % Fett, laktosefrei",0.618,
kresse-beet,8,½ Kresse-Beet,1,Preiselbeersaft,0.615,
kurze nudeln,8,320 g kurze Nudeln,1,Reisnudeln roh,0.615,
senfkörner,8,2 TL schwarze Senfkörner,1,Senfbutter,0.6,
peperoni,8,140 g rote Peperoni,2,Pumpernickel,0.6,
schmelzkäse,8,40 g Schmelzkäse,2,Schmelzkäsezubereitung 45 - 52 % Fett i. Tr.,0.6,
bärlauchblätter,8,"70 g Bärlauchblätter, frisch",2,Brötchen (Blätterteig),0.595,
schmelzkäse,8,40 g Schmelzkäse,3,Schmelzkäsezubereitung mind. 40 % Fett i. Tr.,0.593,
"tofu, fest",8,"300 g Tofu, fest",1,Kartoffelwurst,0.583,
griechischer joghurt (10% fett),8,100 g Griechischer Joghurt (10% Fett),1,Griechischer Bauernsalat,0.582,
bärlauchblätter,8,"70 g Bärlauchblätter, frisch",3,Knoblauch Pulver,0.581,
griechischer joghurt (10% fett),8,100 g Griechischer Joghurt (10% Fett),2,Sahnejoghurt mind. 10 % Fett,0.576,
griechischer joghurt (10% fett),8,100 g Griechischer Joghurt (10% Fett),3,Griechischer Salat,0.571,
"tofu, fest",8,"300 g Tofu, fest",2,Tofu,0.571,
kresse-beet,8,½ Kresse-Beet,2,Krebssuppe,0.571,
